price,title,location,bhk,bathroom,area
7500,1 BHK for rent,"Garden Colony, Kharar",1,1,1900
20000,3BHK FOR RENT,"Khanpur, Kharar",3,2,1370
11000,1 fully furnished WI-FI  AC bed room with attached washroom for rent,"Mander Nagar, Kharar",1,1,500
17000,Independent kothi for Rent,"Sector 125, Mohali",2,2,1500
35000,"3bhk semi furnished/ full furnished 
Sector 92 achme height Royal","Sector 92, Mohali",3,2,1050
15000,1bhk for girls and small families,"Sector 125, Mohali",1,1,1200
9000,Room for rent,"New Hari Enclave, Kharar",2,1,1200
9000,1bhk room for rent,"Khanpur, Kharar",1,1,1000
13000,2bhk ground floor owner free flat airport road sector 123 on road,"Sunny Enclave, Kharar",2,2,1000
6000,Single person,"New Hari Enclave, Kharar",1,1,1350
8500,Floor available For Rent 1Bhk,"New Hari Enclave, Kharar",1,1,500
25500,Flats avaliable in prime location with reasonable budget,"Khanpur, Kharar",2,2,1250
9000,Pg near chandigarh university,"Khanpur, Kharar",1,1,1000
25000,2bhk 117 tdi airport road,"Sector 117, Mohali",2,2,1480
40000,New luxirious full furnished 3 bhk 1st floor for rent on airport road,"Sector 123, Mohali",3,3,2000
30000,"3bhk furnished Family working bachelors preferShiwalik Palm City,","Sector 127, Kharar",3,3,1050
12000,2 BHK For 1 or 2 person,"Adarsh Nagar Ward No 6, Kharar",2,1,2000
17000,1 bhk fully furnished flat available  mohali sector 117Royal property,"Sector 117, Mohali",1,1,1050
22000,Fully furnished flat is available for rent near by Amayra,"Khanpur, Kharar",2,2,1050
27000,Fully furnished flat is available for rent near by Amayra,"Khanpur, Kharar",2,2,950
29999,3BHK FULLY FURNISHED & SEMI FURNISHED FLATS AVAILABLE FOR RENT,"Sector 116, Mohali",3,3,1
20500,2 bhk flat for rent,"Khanpur, Kharar",2,2,1000
18000,"*Available For Rent*
2bhk 
Furnished 
Rent 18k 115 sec Royal Property","Sector 115, Kharar",2,2,1050
9000,One room for rent furnished for boy girl family shivjot Enclavekharar,"Sector 127, Kharar",1,1,1050
10000,Fully furnished 2bhk flat,"Khanpur, Kharar",2,2,800
38000,"Independent House for Rent – Swaraj Enclave, Near Gilco International","Sante Majra, Kharar",2,4,1750
16000,2 BHK room for rent,"Khanpur, Kharar",2,1,1000
29900,2bhk furnished 1st floor Appartment floor jhungiya road sec 125 Kharar,"Sector 125, Mohali",2,2,1050
70000,3+1Bhk Flat For Rent In Marbella Grand,"Airport Road, Mohali",4,4,2600
29000,3 BHK Semi-Furnished in Mohali with ONLY 25% Brokerage!,"Sector 126, Kharar",3,3,1810
18000,FULLY FURNISHED 2BHK WITH ALL FACILITIES,"Mundi Kharar Ward No 3, Kharar",3,2,1800
11000,FURNISHED 1 ROOM SET,"Sector 126, Kharar",1,1,650
8500,Pg indepanded ac room near narvana street Ambika Gold City Khanpur,"Khanpur, Kharar",1,1,500
13999,1BHK (Ground Floor) for Rent - Shivalik Homes,"Shivalik City, Kharar",1,1,585
22000,2 fully furnished flat available for rent near airport road.,"Sector 126, Mohali",2,2,1300
15500,1bhk fully furnished cgc college road sec 115 mohali kharar chd,"Sector 115, Mohali",1,1,1200
7500,Need female flatemate in 2bhk,"Sector 125, Mohali",2,1,12
13000,One bhk for rent in Shivalik enclave 127 13000 Rent Royal Property,"Sector 127, Kharar",1,1,1050
30000,3 BHK FLAT FOR RENT SUNNY ENCLAVE,"Sunny Enclave, Kharar",2,2,1400
28000,2 BHK FLAT FOR RENT FUTURE HEIGHT,"Khanpur, Kharar",2,2,1400
66000,3+1 bhk for rent,"Airport Road, Mohali",4,4,2490
20000,I want to rent my 2bhk flat rs 20000 available from 1 august 2026,"Shivalik City, Kharar",2,2,900
26000,3bhk 3washroom kitchen hall onlyAny party 6th floor sbp Homes sec 126,"Sector 126, Kharar",3,3,1050
15500,1bhk full furnished independent,"Airport Road, Mohali",1,1,700
7500,1 ROOM SET FOR BACHELOR'S,"Sunny Enclave, Kharar",1,1,500
25000,3 bhk Fully furnished Flat including all amenities,"Khanpur, Kharar",3,3,1200
23000,Newly build Fully Furnished 2 BHK,"Sector 126, Mohali",2,2,1400
21000,2BHK Flat for Rent Fully Furnished,"Khanpur, Kharar",2,2,778
40000,4bhk sector 123,"Sector 123, Mohali",4,4,1470
22000,Flat in GBP Camellia,"Khanpur, Kharar",2,2,1122
30000,3 bhk fully furnished flat for rent,"Desu Majra, Kharar",3,3,1350
16500,One Bhk flat for rent fully furnished,"Sector 117, Mohali",1,1,500
9000,"1 Bhk
Fully Furnished 
Flat for Rent","Khanpur, Kharar",1,1,700
22000,Fully furnished flat for rent in kharar,"Khanpur, Kharar",2,2,1100
28000,Available for flat Rent,"Shivalik City, Kharar",3,2,1200
18000,2bhk(onwerfree)fully furnished sec 127 naer by 8B to 7km,"Sector 127, Kharar",2,2,1200
21000,Duplex Villa,"New Hari Enclave, Kharar",3,3,902
30000,3 bhk flat fully furnished for rent,"Shivalik City, Kharar",3,3,1250
20000,Bjbf heights 2bhk for rent,"Sector 127, Mohali",2,2,1182
15000,Furnished 2BHK in JTPL City for rent,"Sector 115, Kharar",2,2,700
26000,3 BHK Flat for Rent in Shivalik City,"Shivalik City, Kharar",3,3,1500
22000,3 BHK Flat for Rent,"JTPL Township, Kharar",3,3,1500
25000,Amayra Group,"Khanpur, Kharar",2,2,1450
22000,2 BHK Flat,"Ranjeet Nagar, Kharar",2,2,800
16000,Furnished 1BHK in Secure Gated Society with Lift,"Sector 127, Kharar",1,1,770
20000,2BHK FLAT FOR RENT,"Khanpur, Kharar",2,2,1250
15000,94171 and 68164 One BHK fully furnished,"Sunny Enclave, Kharar",1,1,1000
12000,Have 2nd floor for rent,"Harialpur, Mohali",1,1,1800
18000,"Sector 114, AWHO, IT City near , Main , luxury Flat,  On Road , DPS","Sector 114, Mohali",3,3,2100
11999,1room owner free available for rent in 3bhk,"Sector 117, Mohali",1,1,1800
12000,Near Chandigarh University,"Khanpur, Kharar",1,1,160
19999,2bhk independent floor available for rent,"Sector 92, Mohali",2,1,1500
8000,Independent 1 room set available for rent,"Sunny Enclave, Kharar",1,1,655
15300,2 BHK SEMI FURNISHED FLAT FOR RENT,"Sunny Enclave, Kharar",2,2,945
14000,2bhk flat 2nd floor for rent,"Sunny Enclave, Kharar",2,2,1000
10000,Flat For Rent,"Shivalik City, Kharar",3,3,1350
22000,No Brokerage 3 BHK Fully Furnished Bachelors Allowed,"Sector 115, Kharar",3,3,1000
6000,Indipendent 2Bhk Flat In 1Room Kitchen Bathroom,"Sector 92, Mohali",2,1,125
13500,Independent spacious 1BHK with store room,"Sante Majra, Kharar",1,1,676
10000,1 bhk 1 Room ( owner free ) for all,"Sector 114, Mohali",2,2,1100
26000,2bhk furnished flat,"Airport Road, Mohali",2,2,1352
19999,OWNER FREE 2BHK FLATS AVAILABLE FOR RENT,"Guru Teg Bahadur Nagar, Kharar",2,2,1
17000,Independent 2 bhk 2nd floor flat available for rent,"Sunny Enclave, Kharar",2,2,1255
22000,"3room set for boys,girls,couple fully furnished","Khanpur, Kharar",3,3,1500
30000,3BHK Fully Furnished Independent Flat with Branded Fitting,"Shivalik City, Kharar",3,3,1197
12500,1 room for girl,"Sector 115, Mohali",1,1,2000
16000,Independent 2 bhk flat  available for rent,"Sunny Enclave, Kharar",2,2,1250
18000,Independent 2 bhk flat available for rent,"Sunny Enclave, Kharar",2,2,1256
8500,Independent one bhk first floor available for rent,"Sunny Enclave, Kharar",1,1,650
11500,Independent 2 bhk first floor available for rent,"Sunny Enclave, Kharar",2,2,1255
17000,Independent 2 bhk flat available for rent,"Sunny Enclave, Kharar",2,2,1250
27000,3bhk available for rent,"Sector 116, Mohali",3,2,749
18000,Independent 4 bhk first floor available for rent,"Sunny Enclave, Kharar",4,2,1650
22000,"3BHK FLATS FOR RENT – JOYNEST MOH-1, MOHALI","Airport Road, Mohali",3,2,1355
19000,PREMIUM 2BHK FLATS FOR RENT – JOYNEST MOH-1,"Airport Road, Mohali",2,2,1080
16000,Independent 2 bhk first floor available for rent,"Sunny Enclave, Kharar",2,2,1250
25000,Newly built 3BHK for rent,"Sector 116, Mohali",3,2,1200
18500,Independent 2 bhk flat available for rent,"Sunny Enclave, Kharar",2,2,1255
14000,Sec 125 desu majra,"Sector 125, Mohali",1,1,950
38000,5 BHK kothi for rent,"Sector 123, Mohali",4,4,1350
10000,Small  family,"Desu Majra, Kharar",1,1,50
17000,Newly built 2 bhk furnished portion for rent,"Harialpur, Mohali",2,2,1800
19000,1/2/3 BHK FLATS for RENT full furnished,"Sector 115, Mohali",2,2,1100
24000,3BHK semi-furnished floor for rent,"Airport Road, Mohali",3,3,2250
10000,1 RK fully furnished( Only for working family or professionals),"Sector 126, Kharar",1,1,900
7000,1 BHK available in 3 BHK Furnished house for couples and Bachelors,"Sunny Enclave, Kharar",1,1,1300
12300,"1Bhk flat with Bed with Mattress, fridge, R.O., Geyser, cupboard.","Sector 127, Kharar",1,1,750
17000,2bhk furnished independent house,"Gillco Valley, Kharar",2,1,900
18000,2bhk flat independent owner free,"Sector 127, Kharar",2,2,900
16000,Independent floor,"Gillco Valley, Kharar",1,1,125
18999,OWNER FREE 2BHK FURNISHED & SEMI FURNISHED FLATS FOR RENT,"Khanpur, Kharar",2,2,1
13000,2 room set with material,"Sector 127, Mohali",2,1,1200
20000,2bhk flat rent,"Sector 127, Mohali",2,2,1000
22000,3bhk flat rent,"Sector 127, Mohali",3,3,1050
5000,Room Available,"Sector 127, Kharar",1,1,150
22500,2 bhk flat for rent,"Sector 123, Mohali",2,2,990
5000,1 furnished room rent for girls,"Sunny Enclave, Kharar",1,1,1200
28000,Fully Furnished 3bhk for rent,"Sector 125, Mohali",3,3,1500
15000,"1BHK furnished flat for rent in Sector 115, Kharar","Sector 115, Kharar",1,1,350
19500,"2 bhk ,2bhk fully furnished flat available in gated society,:;","Sector 127, Kharar",2,2,1050
13500,Oner Spacious and airy house in anand nagar.,"Gillco Valley, Kharar",2,2,1150
6500,Independent room boys and girls,"Sector 127, Kharar",1,1,200
17000,1 bhk fully furnished flat for rent near phase 8b industrial area,"Sector 117, Mohali",1,1,650
20000,Need one girl,"Sector 115, Mohali",2,2,235
16000,2 BHK available for rent Sector 115,"Sector 115, Mohali",2,2,1035
25000,Family & Working Professionals  2 BHK +1 Room Furnished + 300 unit,"Sector 123, Mohali",2,3,1000
21000,Fully Furnished 2 BHK for Rent – Main Kharar–Landran Road,"Sector 127, Mohali",2,2,1050
14000,"1 Big (room) RK  , ideal 1-2 person.","Khanpur, Kharar",1,1,900
10000,1BHK Fully Furnished,"Khanpur, Kharar",1,1,500
9500,Flat mate needed in a 2bhk,"Sector 92, Mohali",2,2,1500
13000,2 BHK INDEPENDENT FLOOR/FLAT,"Khanpur, Kharar",2,2,1500
8000,1bhk for Rent 8000,"Khanpur, Kharar",1,1,900
25000,2BHK NEWLY BUILT & RENOVATED 1ST FLOOR WITH MODULAR KITCHEN,"Sector 118, Mohali",2,2,1620
25000,House for rent for C.U Staff/ working couples/family/girls,"Khanpur, Kharar",2,2,1250
42000,3BHK+ STORE GATED SOCIETY 2ND FLOOR FURNISHED FLAT BANG ON AIRPORT RD,"Sector 117, Mohali",3,3,2250
22000,2 BHK Flat – Fully Furnished,"Khanpur, Kharar",2,2,1250
10000,Stunning Studio Aprtments Near CU,"Khanpur, Kharar",1,1,375
24000,Semi Furnished 3 bhk,"Khuni Majra, Mohali",3,2,1650
36000,Brand New fullyfinish flat for rent,"Khanpur, Kharar",3,3,1350
2200,Single person allowed only,"Guru Teg Bahadur Nagar, Kharar",1,1,100
21000,2BHK for Rent,"Khanpur, Kharar",2,2,825
9500,Big AC room with kitchen for small family,"New Hari Enclave, Kharar",1,1,900
6000,Ground floor,"Khanpur, Kharar",2,2,950
6800,"1 room hai , only  sharing main flat hai  , ek room rent te dena","Sector 126, Mohali",1,1,300
6500,1 room set  furnished independent flat,"Guru Teg Bahadur Nagar, Kharar",1,1,1100
5000,Need girl in sharing,"Sihanpur 176, Mohali",2,2,5555
14990,2 bhk kothi floor for rent,"Sector 124, Mohali",2,2,1230
22000,Furnished Good Condition 2 BHK Flat for Rent,"Khanpur, Kharar",2,2,1100
17000,Flat in good location,"Chhaju Majra, Kharar",2,2,700
2500,Only for boys,"Guru Teg Bahadur Nagar, Kharar",1,1,100
16000,Brand new Spacious 1 BHK 1st floor  Independent Entry  Modular kit,"Swaraj Nagar, Kharar",1,1,1240
16500,2Bhk Unfurnished Sunny Enclave Sector -125,"Sunny Enclave, Kharar",2,2,1500
11000,"1 Bedroom, kitchen, Washroom","Garden Colony, Kharar",1,1,110
21000,Fully furnished flat is available for rent in GBP CAMELLIA,"Khanpur, Kharar",2,2,1100
7500,Independent pg for rent 7500,"Khanpur, Kharar",1,1,500
16000,1 bhk furnished independent sec 115,"Sector 115, Mohali",1,1,550
18000,Beautiful indipendent house,"Khanpur, Kharar",2,2,1500
6000,1 Room set,"Jandpur, Mohali",1,1,600
9500,Only girls bachelor's allowed,"Chajju Majra, Mohali",1,1,100
55000,Luxury 3bhk fully furnished in green lotus utsav,"Airport Road, Mohali",3,3,2100
8000,1 room in 3 bhk flat available,"Sunny Enclave, Kharar",1,1,500
20000,3BHK available for rent in altus phase 2,"Hasainpur 178, Mohali",3,2,2250
6100,Fully furnished Rooms and home made food (Hygiene and quality is our p,"Khanpur, Kharar",1,1,100
14500,Studio apartment,"Sector 115, Kharar",1,1,450
11000,1 bhk independent at nijjer road  kharar,"Housing Board Colony, Kharar",1,1,850
80000,Luxury 4+1 semi furnished flat in airport road mohali,"Airport Road, Mohali",4,4,3007
18500,2 BHK Semifurnished With AC,"Sector 127, Kharar",2,2,918
14000,1 BHK Fully Furnished Flat For Rent,"Sector 127, Kharar",1,1,800
