price,title,location,bhk,bathroom,area
6000,2 room set to rent in jujhar nagar mohali,"Balongi, Mohali",1,1,500
18500,2bhk furnishesd,"Airport Road, Mohali",2,2,1000
25500,3bhk filly furnished brand new flat,"Sector 117, Mohali",3,3,1785
11000,Need a flatmate,"Sector 63, Mohali",1,2,600
23000,2BHK SEMI FURNISHED INDEPENDENT KOTHI FLOOR  AIRPORT ROAD,"Airport Road, Mohali",2,2,1150
23000,2 bhk new build property for family,"Sector 77, Mohali",2,2,2245
37000,3bhk furnished rent 37k purab premium sec 88 Mohali Royal property,"Sector 88, Mohali",3,2,1050
22000,2bhk furnished with 2Ac Family working Shimla Appartment sec 126 Kha,"Sector 126, Kharar",2,2,1050
38000,3BHK 2nd floor on Rent in Sec-89( Park Facing),"Sector 89, Mohali",3,3,1500
25000,2bhk furnished rent 25k furnished with Ac Boys only2nd floor sec 40C c,"Sector 40C, Chandigarh",2,2,1050
22000,1bhk furnished rent 22k 2nd floor ground floor ownerPh 10 Mohali,"Sector 64, Mohali",1,1,1050
16000,1 BHK fully furnished in Gated Society,"Sector 126, Mohali",1,1,850
35000,3 BHK semi furnished House floor owner free independent,"Sector 85, Mohali",3,3,2700
14000,FURNISHED 2 ROOM SET,"Sunny Enclave, Kharar",2,1,900
5500,The best  only for girls room(  apna no chat mein likh dena),"Balongi, Mohali",1,1,1200
24000,3room set with 2washroom kitchen only2nd floor sec 78 Mohali,"Sector 78, Mohali",3,2,1050
40000,3 BHK FLAT FOR RENT TDI 117 PRESTIGE TOWER,"Sector 117, Mohali",3,3,1600
36000,3 BHK FLAT FOR RENT TDI 117 DREAM IKON,"Sector 117, Mohali",3,3,1400
15000,1 RK FLAT FOR RENT SBP GARDANIA,"Sector 117, Mohali",1,1,1400
25500,3 BHK FLAT FOR RENT,"Sector 126, Kharar",3,3,1700
24000,2 BHK FLAT FOR RENT TDI 117,"Sector 117, Mohali",2,2,900
26000,2 BHK FLAT FOR RENT TDI 117,"Sector 117, Mohali",2,2,1400
22041,2 boys or girls  fur  2 rooms set in 41,"Sector 41D, Chandigarh",2,1,650
15000,"1 BHK INDPDNT FLAT  FOR RENT IN SBP NORTH VALLEY, LANDRAN ROAD,KHARAR,","Sante Majra, Kharar",1,1,1100
14000,"STUDIO APARTMENT FOR RENT  LANDRAN ROAD,KHARAR","Sector 126, Kharar",1,1,700
38000,3bhk park facing semi Furnished rent 38k 2nd Floor Royal Property,"Sector 89, Mohali",3,2,1450
40000,Flat phase 10 mohali 2 floor flat with stairs Royal Property,"Sector 64, Mohali",2,2,1050
37000,3bhk furnished rent 37k purab premium sec 88 Mohali Royal Property,"Sector 88, Mohali",3,2,1250
30000,2bhk semi furnished rent 30k 2Ac sec 85 Mohali Royal Property,"Sector 85, Mohali",2,2,1050
31000,2bhk furnished rent 32k Family/ working bechlors prefer Royal Property,"Sector 60 Phase 3B2, Mohali",2,2,1250
15000,1bhk furnished rent 15k married couple/Girls  lig flat Royal Property,"Sector 52, Chandigarh",1,1,1050
32000,2bhk fully furnished flat for rent sec 88 for everyone rent 32 k,"Sector 88, Mohali",2,2,1250
80000,3bhk 3washroom kitchen  prime location opp  Hero Homes Royal Property,"Sector 89, Mohali",3,3,1250
14000,Sector 91 preoccupied 3bhk me One room for girl Royal Property,"Sector 91, Mohali",1,1,1050
18000,2 roomset phase 7 for family girls boys with owner Royal Property,"Sector 61, Chandigarh",2,1,1050
21800,Housefed complex sec 79 Mohali2bhk ground floor Royal Property,"Sector 79, Mohali",2,2,1050
25000,1bhk furnished flat available for rent in sector 63 Royal Property,"Sector 63, Mohali",1,1,1050
22000,2BHK FULL FURNISHED,"Sector 66, Mohali",2,2,2000
28000,2bhk fully furnished flat Only for Bank employees,"Sector 79, Mohali",2,2,150
15000,1bhk small family/Girls preferWestern homes jhugiya road sec 125 Khara,"Sector 126, Kharar",1,1,1050
35000,2bhk furnished for rent Bsnl  society sec 50 Royal Property,"Sector 50, Chandigarh",2,2,1050
32000,2bhk job class party prefe Wellington Heights Royal Property,"Sector 117, Mohali",2,2,1250
19000,2bhk 2washroom kitchen hall onlyWestern homes jhugiya road Kharar,"Sector 126, Kharar",2,2,1050
22000,Furnished rent 22k Any party white city sec 114 Mohali2bhk 2nd floor g,"Sector 114, Mohali",2,2,1050
18000,3bhk hai jis ch 2bhk rent out karna hai 1 room rent 18k girls/couple p,"Sector 91, Mohali",1,1,1050
18000,1bhk furnished facing park working girls family Royal Property,"Industrial Area Phase 7, Mohali",1,1,1050
35000,2 bhk furnished for rent sector 51 rent 35000 Royal property,"Sector 51, Chandigarh",2,2,1050
26000,2 BHK Fully furnished availale in sector 91 mohali,"Sector 91, Mohali",2,2,1100
8500,Newly ready house for rent saparate washroom and saparate kitchen,"Sohana Village, Mohali",1,1,500
23000,2bhk furnished rent 23k 2nd floor semi furnished Royal Property,"Sector 98, Mohali",2,2,1050
17000,Fully furnished 1BHK available for rent,"S.A.S. Nagar, Punjab",1,1,600
17000,2 roomset for rent for family seprate meter independent Royal Property,"Industrial Area Phase 7, Mohali",2,2,1050
35000,Brand new 3bhk on highway just 5 km to Chandigarh,"Sector 120, Mohali",3,2,1350
22500,Fully furnished 2 room available for rent in wave estate,"Sector 85, Mohali",2,1,2250
38000,3bhk semi furnished flat available for Rent in Hero homes sector 88,"Sector 88, Mohali",3,2,1481
18000,2 BHK FLAT FOR RENT 126 DRISHTI HOME,"Sector 126, Kharar",2,2,1500
60000,3bhk furnished rent 60k Family prefer 1st floor luxury Royal Property,"Sector 74, Mohali",3,3,1250
14500,Fully furnished AC 2 Room set with Kitchen,"Phase 1, Mohali",2,1,180
25000,3 BHK Semi Furnished on Airport Road ONLY 25%  Brokergae,"S.A.S. Nagar, Punjab",3,3,500
11200,One bhk house for rent nearest Chandigarh,"Maloha, Chandigarh",1,1,600
24000,Sec 78 2bhk 24k For boys fully furnished Avl frm  july Royal property,"Sector 78, Mohali",2,2,1050
16000,3BHK Ground Floor for Rent Rs. 16000 only,"Sector 126, Mohali",3,2,1350
10000,2 bhk flat need one flatmate only for female,"Sector 61, Chandigarh",2,1,1100
6500,Big independent room attached Big bathroom and kitchen,"Sector 119, Mohali",1,1,4000
30500,2 BHK AVAILABLE FOR RENT,"Sector 85, Mohali",2,2,2000
19000,2BHK flat for rent Ground floor,"Sector 110, Mohali",2,2,1100
17000,"3b2 1 room set 
Fully furnished Rent 17k demand 
Everyone working pe","Sector 60 Phase 3B2, Mohali",1,1,1050
35000,"3bhk semi furnished/ full furnished 
Sector 92 achme height Royal","Sector 92, Mohali",3,2,1050
