Feature,Importance
"location_Sector 12A, Panchkula",0.0003394730735174272
"location_Sector 41C, Chandigarh",0.00033853726592977655
"location_Sector 92, Mohali",0.0003344539941782101
"location_Sector 45C, Chandigarh",0.0003244200179508963
"location_Ambala Dera Bassi Expy, Dera Bassi",0.00031722139445723713
"location_Preet Nagar, Kharar",0.00031499812511506624
"location_Sector 118, Mohali",0.00030671511285477386
"location_Sector 9, Panchkula",0.0003010390811869225
"location_Sector 17, Panchkula",0.0003001156355143971
"location_Ranjeet Nagar, Kharar",0.0002956157099404684
"location_Nagar Khera, Zirakpur",0.0002948340016382544
"location_Sector 105, Mohali",0.00028984239229632537
"location_Mani Majra, Chandigarh",0.0002858838301687127
"location_Sector 104, Mohali",0.00028309641181829587
"location_Shiv Puri Colony, Dera Bassi",0.0002813128882458628
"location_Mander Nagar, Kharar",0.0002799538236205971
"location_Sector 19D, Chandigarh",0.0002746824052294949
"location_Chandigarh Airport Area, Chandigarh",0.0002715571539398349
"location_Sector 41D, Chandigarh",0.0002688939793137499
"location_Gulmohar City, Dera Bassi",0.00026812110992266506
"location_Sector 22A, Chandigarh",0.0002676584984608199
"location_Sector 18D, Chandigarh",0.00026632051014407256
"location_Sector 120, Mohali",0.00026151165842273004
"location_Jarnail Enclave, Zirakpur",0.00026075637550581043
"location_Swaraj Nagar, Kharar",0.00025738541905922737
"location_Dashmesh Nagar, Kharar",0.0002569677359887585
"location_Badal Colony, Zirakpur",0.00025476770011802154
"location_Sector 49A, Chandigarh",0.0002521718025617476
"location_Desu Majra, Kharar",0.0002443577781697412
"location_Sector 113, Mohali",0.00024172367499612928
"location_Saraswati Vihar, Dera Bassi",0.00024016436098296505
"location_Shivalik Enclave, Chandigarh",0.00023975329713223073
"location_Urban Estate, Patiala",0.00023920959199642315
"location_Nayagaon, Karoran",0.00023680344264093736
"location_New Hari Enclave, Kharar",0.00022967995631984414
"location_Sector 67, Mohali",0.0002294612172958195
"location_Sector 10, Panchkula",0.00022658300968289217
"location_Dera Bassi-Barwala Road, Dera Bassi",0.00021913391189720506
"location_Industrial Area Phase 7, Mohali",0.00020840364766609365
"location_Gulmohar Nagar, Khanna",0.00020268934938846332
"location_Zirakpur Panchkula Kalka Highway, Zirakpur",0.00019274306962170488
"location_Sector 19A, Chandigarh",0.00019123318729401126
"location_Sector 35B, Chandigarh",0.00018767372033178035
"location_Sector 26 East, Chandigarh",0.0001842419963198088
"location_Sector 108, Mohali",0.00018260982993827425
"location_Sector 11, Panchkula",0.00018060813171958114
"location_Mohali, Punjab",0.00017838962619130062
"location_Sector 12, Panchkula",0.00017679889506639685
"location_Sector 34C, Chandigarh",0.0001679511865024564
"location_Chhaju Majra, Kharar",0.00016771931693154924
"location_Sector 92A, Mohali",0.00016706608747129353
"location_Patiali Rao, Karoran",0.00016626651018060123
"location_Bar Majra, Mohali",0.0001658239395351078
"location_Kharar, Punjab",0.00015960576977188062
"location_Dashmesh Nagar, Patiala",0.00015929782327959974
"location_Sector 34A, Chandigarh",0.0001588304012729026
"location_Panchsheel Enclave, Zirakpur",0.00015700751673743628
"location_Baliali, Mohali",0.00015557922577097015
